author,title,year,conference
Xin Li_Yanghui Rao_Yanjia Chen_Xuebo Liu_Huan Huang,Social Emotion Classification via Reader Perspective Weighted Model.,2016,AAAI
Daria Terekhov_J. Christopher Beck_Kenneth N. Brown,Solving a Stochastic Queueing Design and Control Problem with Constraint Programming.,2007,AAAI
Xiaowei Huang_Marta Zofia Kwiatkowska,Reasoning about Cognitive Trust in Stochastic Multiagent Systems.,2017,AAAI
Aditya Pal_Nilesh N. Dalvi_Kedar Bellare,Discovering Hierarchical Structure for Sources and Entities.,2013,AAAI
Xiaojin Zhu 0001_Andrew B. Goldberg,Kernel Regression with Order Preferences.,2007,AAAI
Katharina Eggensperger_Frank Hutter_Holger H. Hoos_Kevin Leyton-Brown,Efficient Benchmarking of Hyperparameter Optimizers via Surrogates.,2015,AAAI
Michael Freed_Jaime G. Carbonell_Geoffrey J. Gordon_Jordan Hayes_Brad A. Myers_Daniel P. Siewiorek_Stephen F. Smith_Aaron Steinfeld_Anthony Tomasic,RADAR: A Personal Assistant that Learns to Reduce Email Overload.,2008,AAAI
Shimon Whiteson_Daniel Whiteson,Stochastic Optimization for Collision Selection in High Energy Physics.,2007,AAAI
Igor Labutov_Christoph Studer,JAG: A Crowdsourcing Framework for Joint Assessment and Peer Grading.,2017,AAAI
Christopher Andreas Clark_Santosh Kumar Divvala,Looking Beyond Text: Extracting Figures Tables and Captions from Computer Science Papers.,2015,AAAI
Matthew E. Taylor_Peter Stone,Representation Transfer via Elaboration.,2007,AAAI
Luc De Raedt,Languages for Learning and Mining.,2015,AAAI
Mahdi Milani Fard_Yuri Grinberg_Joelle Pineau_Doina Precup,Compressed Least-Squares Regression on Sparse Spaces.,2012,AAAI
Kai Yang_Xiang Li_Haifeng Liu_Jing Mei_Guo Tong Xie_Junfeng Zhao_Bing Xie_Fei Wang 0001,TaGiTeD: Predictive Task Guided Tensor Decomposition for Representation Learning from Electronic Health Records.,2017,AAAI
Sasin Janpuangtong_Dylan A. Shell,Leveraging Ontologies to Improve Model Generalization Automatically with Online Data Sources.,2015,AAAI
Peng Dai_Mausam_Daniel S. Weld,Decision-Theoretic Control of Crowd-Sourced Workflows.,2010,AAAI
Guido Powell_Kate Zinszer_Jahnavi Dhananjay_Chi Bahk_Lawrence C. Madoff_John S. Brownstein_Sabine Bergler_David L. Buckeridge,Monitoring Discussion of Vaccine Adverse Events in the Media: Opportunities from the Vaccine Sentimeter.,2016,AAAI
Bernardo Ávila Pires_Csaba Szepesvári,Pathological Effects of Variance on Classification-Based Policy Iteration.,2015,AAAI
Qiang Li_Wei Bian_Richard Yi Da Xu_Jane You_Dacheng Tao,Random Mixed Field Model for Mixed-Attribute Data Restoration.,2016,AAAI
Jingyu Shao_Junfu Yin_Wei Liu 0007_Longbing Cao,Actionable Combined High Utility Itemset Mining.,2015,AAAI
George Konidaris_Leslie Pack Kaelbling_Tomás Lozano-Pérez,Symbol Acquisition for Task-Level Planning.,2013,AAAI
Dou Shen_Min Qin_Weizhu Chen_Qiang Yang 0001_Zheng Chen,Mining Web Query Hierarchies from Clickthrough Data.,2007,AAAI
Ashok K. Goel 0001_David A. Joyner,Design of an Online Course on Knowledge-Based AI.,2016,AAAI
Hong Qian_Yang Yu,Solving High-Dimensional Multi-Objective Optimization Problems with Low Effective Dimensions.,2017,AAAI
Bernhard Bliem_Günther Charwat_Markus Hecher_Stefan Woltran,Subset Minimization in Dynamic Programming on Tree Decompositions.,2016,AAAI
Zihao Chen_Luo Luo_Zhihua Zhang,Communication Lower Bounds for Distributed Convex Optimization: Partition Data on Features.,2017,AAAI
Christian J. Muise_Vaishak Belle_Paolo Felli_Sheila A. McIlraith_Tim Miller_Adrian R. Pearce_Liz Sonenberg,Planning Over Multi-Agent Epistemic States: A Classical Planning Approach.,2015,AAAI
Yi Wang_Xin Fan_Zhongxuan Luo_Tianzhu Wang_Maomao Min_Jiebo Luo,Fast Online Incremental Learning on Mixture Streaming Data.,2017,AAAI
Yifei Ma_Roman Garnett_Jeff G. Schneider,Active Search for Sparse Signals with Region Sensing.,2017,AAAI
Yi Xu_Haiqin Yang_Lijun Zhang 0005_Tianbao Yang,Efficient Non-Oblivious Randomized Reduction for Risk Minimization with Improved Excess Risk Guarantee.,2017,AAAI
Christopher Makoto Wilt,Steps Towards a Science of Heuristic Search.,2013,AAAI
Argyrios Deligkas_George B. Mertzios_Paul G. Spirakis,The Computational Complexity of Weighted Greedy Matching.,2017,AAAI
Neha Sugandh_Santiago Ontañón_Ashwin Ram,On-Line Case-Based Plan Adaptation for Real-Time Strategy Games.,2008,AAAI
Feiping Nie_Xiaoqian Wang_Heng Huang,Multiclass Capped ℓp-Norm SVM for Robust Classifications.,2017,AAAI
Xin Wang_Ying Wang_Wanli Zuo_Guoyong Cai,Exploring Social Context for Topic Identification in Short and Noisy Texts.,2015,AAAI
Umair Z. Ahmed_Krishnendu Chatterjee_Sumit Gulwani,Automatic Generation of Alternative Starting Positions for Simple Traditional Board Games.,2015,AAAI
Jeffrey Bigham,What's Hot in Crowdsourcing and Human Computation.,2015,AAAI
