author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Pradheep Elango,0,1,0,1,1,1,0,0,0,0,0,4
Sherry Emery,0,0,0,0,0,0,0,0,0,2,0,2
Anne-France Viet,0,0,0,0,0,0,1,0,0,0,0,1
Muhammad Farhan,0,0,0,0,0,0,0,0,0,0,1,1
Nil Geisweiller,0,0,0,0,1,0,0,0,0,0,0,1
Calvin Murdock,0,0,0,0,0,0,0,0,0,1,1,2
John D. Kelleher,1,0,0,0,0,1,1,0,0,0,0,3
Clement Gehring,0,0,0,0,0,0,0,0,0,1,0,1
Igor Durdanovic,0,1,0,0,0,0,0,0,0,0,0,1
Ilan Shimshoni,1,0,1,0,1,0,1,0,1,1,0,6
Andreas Steininger,1,1,0,0,0,0,0,0,0,0,0,2
Buyue Zhang,0,0,0,0,0,0,0,1,0,0,0,1
Haifeng Chen,0,0,0,0,0,0,0,0,1,2,3,6
Eric P. Xing,3,3,5,5,5,6,9,6,10,7,7,66
Ikumi Suzuki,0,0,0,0,0,1,0,0,2,1,1,5
Do Hang Nga,0,0,0,0,0,1,0,0,0,0,0,1
Jennifer Gillenwater,0,0,0,0,0,1,0,1,1,0,0,3
Kil-Taek Lim,0,0,0,0,0,0,0,0,0,0,1,1
Yiqiang Zhan,0,0,0,0,1,0,0,0,0,0,0,1
Nguyen Ha Vo,0,0,0,0,0,0,0,0,1,0,0,1
Lin Xu,0,0,1,2,0,1,0,0,1,0,0,5
Philippe Jégou,1,0,0,0,0,0,0,0,1,0,0,2
Timo von Oertzen,0,0,0,0,0,0,1,0,0,0,0,1
Sourav Dutta,0,0,0,0,0,0,0,0,0,1,0,1
Hadi Aliakbarpour,0,0,0,0,0,1,0,0,0,1,0,2
Magdalena D. Bugajska,2,1,0,1,0,0,0,0,0,0,0,4
Isabel Valera,0,0,0,0,0,1,0,2,1,1,1,6
Muddasser Alam,0,0,0,0,0,0,1,0,1,0,0,2
Achal Dave,0,0,0,0,0,0,0,0,0,0,1,1
Ryuichi Kiryo,0,0,0,0,0,0,0,0,0,0,1,1
Bi Song,1,0,1,0,2,0,0,0,0,0,0,4
Tze-Yun Leong,0,0,0,1,0,1,0,0,0,0,2,4
Raphael Viguier,0,0,0,0,0,0,0,0,0,1,0,1
Zhuowen Tu,3,3,2,1,0,9,3,1,0,0,4,26
Stephen Gould,1,2,2,1,0,1,1,1,0,2,4,15
Leon van der Torre,0,0,0,0,0,0,0,1,0,0,0,1
Spyros Kotoulas,0,0,0,0,0,1,0,0,0,0,1,2
Qizhe Xie,0,0,0,0,0,0,0,0,0,0,1,1
